Município;Estado;Apólices contratadas;Total de Importância segurada (R$ mil);Total de Subvenção (R$ mil);Apólices indenizadas;índice de sinistralidade;grupo;grupo5;mun;uf;;;
Fernandes Pinheiro;Paraná;7;759254,4;19438,2;1;0,363666376;0;3;4107736;41;;;
Figueira;Paraná;8;849184,8;18986,9;1;1,081150517;0;3;4107751;41;;;
Flor da Serra do Sul;Paraná;3;143665,7;4096,6;0;0;0;3;4107850;41;;;
Floraí;Paraná;86;12243946,6;482288,1;43;1,397313693;3;1;4107801;41;;;
Flores da Cunha;Rio Grande do Sul;918;87323058,9;2909516,1;771;5,723073537;1;0;4308201;43;;;
Floresta;Paraná;75;6781086,5;256306,4;26;1,022012208;0;1;4107900;41;;;
Florestópolis;Paraná;43;9189025;408355,4;25;1,857749624;0;1;4108007;41;;;
Floriano Peixoto;Rio Grande do Sul;18;795318,8;27080,5;6;1,30231493;0;3;4308250;43;;;
Flórida;Paraná;50;5938796,5;225412,4;32;2,684185284;0;1;4108106;41;;;
Fontoura Xavier;Rio Grande do Sul;4;989532;34311,3;0;0;0;3;4308300;43;;;
Formigueiro;Rio Grande do Sul;5;1200593,1;35961,7;0;0;0;3;4308409;43;;;
Formosa do Oeste;Paraná;217;17698201;653939,5;127;1,800686526;3;4;4108205;41;;;
Forquilhinha;Santa Catarina;162;29105606,5;312693,5;8;0,056779479;3;4;4205456;42;;;
Fortaleza dos Valos;Rio Grande do Sul;44;7961614,4;249452,6;5;0,206757701;0;1;4308458;43;;;
Foz do Iguaçu;Paraná;73;12712825,7;417377;25;1,71050511;3;1;4108304;41;;;
Foz do Jordão;Paraná;21;4150672,8;142220,8;0;0;0;3;4108452;41;;;
Fraiburgo;Santa Catarina;75;29124128,4;1510852,6;11;0,168500511;3;4;4205506;42;;;
Francisco Alves;Paraná;49;11234456,5;456096;37;3,718687269;3;1;4108320;41;;;
Francisco Beltrão;Paraná;4;515678,9;15229,6;0;0;0;3;4108403;41;;;
Frederico Westphalen;Rio Grande do Sul;7;593780;16318,4;1;0,04205641;0;3;4308508;43;;;
Frei Rogério;Santa Catarina;9;947940;22271,3;1;0,034579641;0;3;4205555;42;;;
Fênix;Paraná;126;18959482,4;582018,4;70;2,595688777;3;4;4107702;41;;;
Galvão;Santa Catarina;8;2101382;53437,8;1;0,059372432;0;3;4205605;42;;;
Garibaldi;Rio Grande do Sul;279;27541885,8;806244,4;18;0,056034985;3;4;4308607;43;;;
Garruchos;Rio Grande do Sul;20;4587821;165332,3;1;0,019544235;0;3;4308656;43;;;
Gaspar;Santa Catarina;13;1746568,4;22655,3;0;0;0;3;4205902;42;;;
Gaurama;Rio Grande do Sul;1;169200;6632,7;0;0;0;3;4308706;43;;;
General Carneiro;Paraná;2;1425600;10381,8;0;0;0;3;4108502;41;;;
General Câmara;Rio Grande do Sul;15;3700234,6;60824,6;6;1,636655761;0;3;4308805;43;;;
Gentil;Rio Grande do Sul;8;389266,8;16432;1;0,532991316;0;3;4308854;43;;;
Getúlio Vargas;Rio Grande do Sul;18;1553504,9;56728,4;1;0,082317496;0;3;4308904;43;;;
Giruá;Rio Grande do Sul;46;7726257,5;327891,8;5;0,139927434;0;1;4309001;43;;;
Glorinha;Rio Grande do Sul;1;330000;4250,4;0;0;0;3;4309050;43;;;
Glória;-;3;238550;2546,6;0;0;0;3;0;-;;;
Godoy Moreira;Paraná;18;1130564,7;33054,2;3;0,467047149;0;3;4108551;41;;;
Goioerê;Paraná;171;37040518,8;1326166,3;90;1,965980707;1;4;4108601;41;;;
Goioxim;Paraná;20;4456754,6;113345,1;6;0,64162656;0;3;4108650;41;;;
Gramado;Rio Grande do Sul;1;42680;2106,9;0;0;0;3;4309100;43;;;
Gramado Xavier;Rio Grande do Sul;1;153216;5047,9;0;0;0;3;4309159;43;;;
Gramado dos Loureiros;Rio Grande do Sul;1;60000;2177,6;0;0;0;3;4309126;43;;;
Grandes Rios;Paraná;19;2449389,6;78280,4;5;2,19479647;0;3;4108700;41;;;
Gravataí;Rio Grande do Sul;1;229098;6502;0;0;0;3;4309209;43;;;
Guabiju;Rio Grande do Sul;16;1581815,1;51499,7;0;0;0;3;4309258;43;;;
Guaiporã;-;1;185048,8;6413,3;1;1,068300624;0;3;0;-;;;
Guairacá;-;1;51135,1;3130;1;4,62165737;0;3;0;-;;;
Guajuvira;-;1;204486;10554,6;0;0;0;3;0;-;;;
Guamiranga;Paraná;1;77440;1197,9;0;0;0;3;4108957;41;;;
Guapirama;Paraná;8;1761129,5;64964,4;5;2,189114566;0;3;4109005;41;;;
Guaporema;Paraná;6;678634,1;17930,7;2;5,003307743;0;3;4109104;41;;;
Guaporé;Rio Grande do Sul;57;4354702,3;126259,1;3;0,035901885;0;3;4309407;43;;;
Guaraci;Paraná;28;4030136,1;149817,1;15;2,116437166;0;3;4109203;41;;;
Guaraciaba;Santa Catarina;1;272984,4;10552,2;0;0;0;3;4206405;42;;;
Guaragi;-;2;137942;9599;0;0;0;3;0;-;;;
Guaramirim;Santa Catarina;2;223262,6;2951,3;0;0;0;3;4206504;42;;;
Guaraniaçu;Paraná;37;3927478;132331,1;10;1,286768107;0;3;4109302;41;;;
Guarapuava;Paraná;68;19488639,3;471573,4;2;0,103686195;3;4;4109401;41;;;
Guaravera;-;11;772184,5;46893;5;1,082511089;0;3;0;-;;;
Guaíba;Rio Grande do Sul;7;4825350;47215,4;0;0;0;3;4309308;43;;;
Guaíra;Paraná;96;15515239,6;614880,8;34;0,959156842;3;1;4108809;41;;;
Herval;Rio Grande do Sul;5;1278667;43759,6;0;0;0;3;4307104;43;;;
Honório Serpa;Paraná;49;13394754,2;349033;2;0,065094008;3;1;4109658;41;;;
Horizontina;Rio Grande do Sul;6;228021;8849,7;0;0;0;3;4309605;43;;;
Hulha Negra;Rio Grande do Sul;30;4740110,4;146462,9;3;0,499807278;0;3;4309654;43;;;
Humaitá;Rio Grande do Sul;7;850822,1;46685,1;1;0,064619246;0;3;4309704;43;;;
Ibaiti;Paraná;50;9166350,1;344024,2;27;3,05853473;0;1;4109708;41;;;
Ibema;Paraná;20;2956920,2;100541,3;1;0,569479935;0;3;4109757;41;;;
Ibiam;Santa Catarina;6;323425;21213,7;0;0;0;3;4206751;42;;;
Ibiaçá;Rio Grande do Sul;13;2195766;65303,6;0;0;0;3;4309803;43;;;
Ibiporã;Paraná;116;10320549,1;393440,8;44;1,01182419;3;1;4109807;41;;;
Ibiraiaras;Rio Grande do Sul;19;1232127,9;41761,6;2;0,056506441;0;3;4309902;43;;;
Ibirapuitã;Rio Grande do Sul;16;1619115,7;54124,8;4;0,136557053;0;3;4309951;43;;;
Ibirubá;Rio Grande do Sul;28;6169143,2;186717;6;0,384892725;0;1;4310009;43;;;
Icaraíma;Paraná;4;1193347,5;45787,6;1;0,000978757;0;3;4109906;41;;;
Iguaraçu;Paraná;83;11673411,7;510552,9;43;1,937217211;3;1;4110003;41;;;
Iguatu;Paraná;17;2181374,8;83619,8;5;2,008824146;0;3;4110052;41;;;
Ijuí;Rio Grande do Sul;25;2393947,9;73358,4;7;0,365369686;0;3;4310207;43;;;
Ilhota;Santa Catarina;9;846449,9;12043,7;1;3,727708939;0;3;4207106;42;;;
Imaruí;Santa Catarina;6;4259852,3;57778,7;0;0;0;3;4207205;42;;;
Imbaú;Paraná;5;1250377;23650,8;0;0;0;3;4110078;41;;;
Imbituba;Santa Catarina;4;3178195,5;40862,2;0;0;0;3;4207304;42;;;
Imbituva;Paraná;16;2296148,9;62772,5;1;0,435234692;0;3;4110102;41;;;
Imbuia;Santa Catarina;83;8952445,3;380277,4;24;0,907521565;0;1;4207403;42;;;
Inajá;Paraná;1;1274910;36653,6;1;0,782739367;0;3;4110300;41;;;
Independência;Rio Grande do Sul;32;4175586,9;103816,2;7;0,843298011;0;3;4310405;43;;;
Indianópolis;Paraná;8;577923,3;19880,6;2;0,678417268;0;3;4110409;41;;;
Inhacorá;Rio Grande do Sul;5;360670,3;16982,8;1;0,166068745;0;3;4310413;43;;;
Inácio Martins;Paraná;3;486636,3;11964,5;0;0;0;3;4110201;41;;;
Iomerê;Santa Catarina;7;230680;13557,9;0;0;0;3;4207577;42;;;
Ipiranga;Paraná;37;5639566,4;163005,5;1;0,102140724;0;1;4110508;41;;;
Ipiranga do Sul;Rio Grande do Sul;9;450937,1;16171,7;1;0,102968539;0;3;4310462;43;;;
Iporã;Paraná;85;15374436,3;558643,9;55;3,436943734;3;1;4110607;41;;;
Ipuaçu;Santa Catarina;15;3576575,8;94146,7;0;0;0;3;4207684;42;;;
Ipê;Rio Grande do Sul;123;13721673,1;580729,7;15;0,622185501;3;1;4310439;43;;;
Iracema do Oeste;Paraná;58;5845924;255118,1;23;1,046859327;0;1;4110656;41;;;
Iraceminha;Santa Catarina;9;369010;17269,7;0;0;0;3;4207759;42;;;
Irani;Santa Catarina;3;2057288,4;69140,2;0;0;0;3;4207809;42;;;
Irati;Paraná;22;2366100,4;54758,6;0;0;0;3;4110706;41;;;
Iraí;Rio Grande do Sul;3;121269;2920;0;0;0;3;4310504;43;;;
Irerê;-;6;262889,9;10013;3;1,851936075;0;3;0;-;;;
Iretama;Paraná;54;8124909,6;195895,2;13;0,973253639;0;1;4110805;41;;;
Irineópolis;Santa Catarina;32;2744926,9;59543,2;0;0;0;3;4207908;42;;;
Itaara;Rio Grande do Sul;5;635308,9;21712;0;0;0;3;4310538;43;;;
Itacurubi;Rio Grande do Sul;8;2127306,5;61128,7;3;0,669597308;0;3;4310553;43;;;
Itaguajé;Paraná;19;1661858,5;63401,3;11;3,73363618;0;3;4110904;41;;;
Itaipulândia;Paraná;53;9935514;305379,4;38;3,867018784;3;1;4110953;41;;;
Itaiópolis;Santa Catarina;77;3541113,4;48487,7;1;0,015372813;0;3;4208104;42;;;
Itambaracá;Paraná;115;11491009,9;486126,5;24;0,590310379;3;1;4111001;41;;;
Itambé;Paraná;84;16892581,3;633617,5;31;1,17390196;3;4;4111100;41;;;
Itapejara d'Oeste;Paraná;16;1708203,8;49497,4;6;2,248009076;0;3;4111209;41;;;
Itapuca;Rio Grande do Sul;2;90308,9;4835,4;0;0;0;3;4310579;43;;;
Itaqui;Rio Grande do Sul;51;21881361,8;608496;3;0,558882645;3;4;4310603;43;;;
Ituporanga;Santa Catarina;162;20547709,8;841533,6;6;0,205868821;3;4;4208500;42;;;
Ivailândia;-;2;22994,9;1124,5;1;1,941094081;0;3;0;-;;;
Ivaiporã;Paraná;222;17375541,1;596895,5;43;0,624547697;3;4;4111506;41;;;
Ivatuba;Paraná;60;8505880,8;295368,5;22;1,535892693;0;1;4111605;41;;;
Ivaté;Paraná;2;323865,4;13910;2;2,145844521;0;3;4111555;41;;;
Ivaí;Paraná;45;3803439,7;98333,6;14;1,330203898;0;3;4111407;41;;;
Ivorá;Rio Grande do Sul;1;31500,3;1138,3;0;0;0;3;4310751;43;;;
Içara;Santa Catarina;1;85000;877,6;0;0;0;3;4207007;42;;;
Jaborá;Santa Catarina;4;223802,5;7991,2;0;0;0;3;4208609;42;;;
Jaboti;Paraná;6;279308,5;10838,2;4;1,742965451;0;3;4111704;41;;;
Jaboticaba;Rio Grande do Sul;1;23399,8;1451;0;0;0;3;4310850;43;;;
Jacarezinho;Paraná;23;8281081,7;190979,1;8;0,991296685;0;1;4111803;41;;;
Jacinto Machado;Santa Catarina;155;13166774,7;166841,2;36;0,921095754;3;1;4208708;42;;;
Jacuizinho;Rio Grande do Sul;11;2059596,2;80457;1;0,097490236;0;3;4310876;43;;;
Jacutinga;Rio Grande do Sul;3;1332037,5;36758,8;0;0;0;3;4310900;43;;;
Jaguapitã;Paraná;69;11274396,3;357246;21;0,855687438;3;1;4111902;41;;;
Jaguari;Rio Grande do Sul;1;122103;4395,7;0;0;0;3;4311106;43;;;
Jaguariaíva;Paraná;41;9992020,8;264339,9;1;0,440962675;3;1;4112009;41;;;
Jaguaruna;Santa Catarina;1;331124,2;4808,5;0;0;0;3;4208807;42;;;
Jaguarão;Rio Grande do Sul;37;14475649,3;359338,1;5;0,043302848;3;1;4311007;43;;;
Jandaia do Sul;Paraná;34;1939473,9;74095,4;13;0,835760237;0;3;4112108;41;;;
Jangada do Sul;-;1;120400;4047,3;0;0;0;3;0;-;;;
Janiópolis;Paraná;151;20202361;611364,9;56;1,358681346;3;4;4112207;41;;;
Jansen;-;22;2131424,6;112419;11;1,596776957;0;3;0;-;;;
Japira;Paraná;19;1773477,8;67366,7;1;3,074843842;0;3;4112306;41;;;
Japurá;Paraná;35;4249278,8;155753,5;17;1,50042231;0;3;4112405;41;;;
Jaquirana;Rio Grande do Sul;4;1566288,7;102482,9;0;0;0;3;4311122;43;;;
Jardim Alegre;Paraná;110;7943491,8;273640,2;23;1,114108391;0;1;4112504;41;;;
Jardim Olinda;Paraná;13;2271013,3;85586,4;7;1,839308445;0;3;4112603;41;;;
Jari;Rio Grande do Sul;41;11236715,5;382765,9;6;0,073782241;3;1;4311130;43;;;
Jataizinho;Paraná;72;5427468,5;237596,4;33;1,754027413;0;3;4112702;41;;;
Jesuítas;Paraná;232;17632278,9;626871;106;1,469591186;3;4;4112751;41;;;
Joaquim Távora;Paraná;10;1237671,6;37887;4;2,46249488;0;3;4112801;41;;;
Joaçaba;Santa Catarina;2;31576,7;1631;1;0,503579585;0;3;4209003;42;;;
Joinville;Santa Catarina;1;33900;462,7;0;0;0;3;4209102;42;;;
José Boiteux;Santa Catarina;1;24000;1123,2;0;0;0;3;4209151;42;;;
Jundiaí do Sul;Paraná;24;5873071,8;247266,4;12;1,500557393;0;1;4112900;41;;;
Jupiá;Santa Catarina;7;300372,5;10728,2;1;0,079678546;0;3;4209177;42;;;
Juranda;Paraná;119;18147333,1;629634,4;26;0,826481093;3;4;4112959;41;;;
Jussara;Paraná;121;8678370,7;338242,5;76;2,682903265;0;1;4113007;41;;;
Juvinópolis;-;2;355515,9;10103,7;0;0;0;3;0;-;;;
Jóia;Rio Grande do Sul;69;21457711,8;692068,3;4;0,083535925;3;4;4311155;43;;;
Júlio de Castilhos;Rio Grande do Sul;133;28727889,4;991613,4;27;0,215536904;3;4;4311205;43;;;
Kaloré;Paraná;133;8671507,5;372239,5;50;0,869041624;0;1;4113106;41;;;
Lages;Santa Catarina;4;2142484,2;103887,8;1;0,126929941;0;3;4209300;42;;;
Lagoa Vermelha;Rio Grande do Sul;66;11920192,7;460470,5;1;0,011481923;3;1;4311304;43;;;
Lagoa dos Três Cantos;Rio Grande do Sul;35;3030497,5;103331,3;9;0,523941386;0;3;4311270;43;;;
Lagoão;Rio Grande do Sul;1;297001,2;7992,3;1;1,003344463;0;3;4311254;43;;;
Lajeado Grande;Santa Catarina;2;217072,2;7713,9;0;0;0;3;4209458;42;;;
Lajeado do Bugre;Rio Grande do Sul;2;246839,4;8883,4;0;0;0;3;4311429;43;;;
Lapa;Paraná;98;17268511,3;514694,5;9;0,19378359;3;4;4113205;41;;;
Laranjal;Paraná;6;1722604,9;47337,6;2;1,091543506;0;3;4113254;41;;;
Laranjeiras do Sul;Paraná;29;4214615,9;93438,6;1;0,048726939;0;3;4113304;41;;;
Lavras do Sul;Rio Grande do Sul;37;10003199,1;288145;11;0,411388094;3;1;4311502;43;;;
Lebon Régis;Santa Catarina;65;13935208,9;555557,3;7;0,116445271;3;1;4209706;42;;;
Leoberto Leal;Santa Catarina;5;125005,5;5312,5;0;0;0;3;4209805;42;;;
Lerroville;-;5;252614,3;14381,1;0;0;0;3;0;-;;;
Leópolis;Paraná;100;13604848,2;514612,6;42;1,058626237;3;1;4113403;41;;;
Liberato Salzano;Rio Grande do Sul;9;685990;26270,2;4;0,799961928;0;3;4311601;43;;;
Lidianópolis;Paraná;41;3390469,1;135541,3;5;0,114754538;0;3;4113429;41;;;
Lindoeste;Paraná;21;3983083,3;152431,5;3;0,228512652;0;3;4113452;41;;;
Linha Nova;Rio Grande do Sul;1;60000;1439,2;0;0;0;3;4311643;43;;;
Loanda;Paraná;18;2338359,7;112231,3;10;0,993487646;0;3;4113502;41;;;
Lobato;Paraná;151;15551071,5;594070,4;90;2,511108172;3;1;4113601;41;;;
Londrina;Paraná;431;45589503,8;1876542,2;142;1,094439065;1;0;4113700;41;;;
Luiz Alves;Santa Catarina;1;58000;897,2;0;0;0;3;4210001;42;;;
Luiziana;Paraná;210;57133865,4;1369855,9;30;0,198066215;1;0;4113734;41;;;
Lunardelli;Paraná;62;5129491,5;181609,2;18;1,144667589;0;3;4113759;41;;;
Lupionópolis;Paraná;41;3841704,8;140946,2;29;2,923043449;0;3;4113809;41;;;
Luzerna;Santa Catarina;1;33750;1158,9;0;0;0;3;4210035;42;;;
Machadinho;Rio Grande do Sul;8;1095776,7;29374,6;1;0,036221664;0;3;4311700;43;;;
Macieira;Santa Catarina;2;176400;10564,9;0;0;0;3;4210050;42;;;
Mafra;Santa Catarina;95;12219401,1;288869,5;0;0;3;1;4210100;42;;;
Major Gercino;Santa Catarina;1;29800;1401,3;0;0;0;3;4210209;42;;;
Major Vieira;Santa Catarina;26;4744015,5;131483,3;1;0,014997805;0;3;4210308;42;;;
Mallet;Paraná;25;2020253,3;44329,8;6;1,920322455;0;3;4113908;41;;;
Mamborê;Paraná;350;70000353,8;1745705,3;90;1,355057668;1;0;4114005;41;;;
Mampituba;Rio Grande do Sul;14;1805975;19278,9;2;0,15339564;0;3;4311734;43;;;
Mandaguari;Paraná;75;6762702,1;176367,3;13;0,631944124;0;1;4114203;41;;;
Mandaguaçu;Paraná;88;7561765,6;295042,3;51;2,345077365;0;1;4114104;41;;;
Mandirituba;Paraná;2;162046,5;4726,2;0;0;0;3;4114302;41;;;
Mangueirinha;Paraná;113;23249660,6;536196,5;1;0,005604062;3;4;4114401;41;;;
Manoel Ribas;Paraná;185;21155587,7;511014,2;32;1,25757423;3;4;4114500;41;;;
Manoel Viana;Rio Grande do Sul;31;8854492,1;326512,7;0;0;0;1;4311759;43;;;
Maquiné;Rio Grande do Sul;1;318500;3400;0;0;0;3;4311775;43;;;
Maracajá;Santa Catarina;8;1022600;10706,4;0;0;0;3;4210407;42;;;
Marau;Rio Grande do Sul;25;2918986,7;105601,7;4;0,197776288;0;3;4311809;43;;;
Maravilha;Santa Catarina;1;22300,8;1364,8;1;2,972369679;0;3;4210506;42;;;
Marechal Cândido Rondon;Paraná;137;10729537,8;364938,4;90;2,78142077;3;1;4114609;41;;;
Maria Helena;Paraná;1;361088,1;11740,7;0;0;0;3;4114708;41;;;
Marialva;Paraná;310;26565791,4;964474,6;84;0,797928357;3;4;4114807;41;;;
Marilena;Paraná;1;149809,5;8939,1;1;5,101557033;0;3;4115002;41;;;
Mariluz;Paraná;78;20949666,1;674834,1;15;0,877877599;3;4;4115101;41;;;
Marilândia do Sul;Paraná;101;12029766,4;476245;14;0,505770296;3;1;4114906;41;;;
Maringá;Paraná;241;24516008,7;954571,1;122;1,743465078;3;4;4115200;41;;;
Maripá;Paraná;126;18234308,1;680608,1;33;0,608082611;3;4;4115358;41;;;
Mariópolis;Paraná;47;4149248,1;116500,5;0;0;0;3;4115309;41;;;
Marmeleiro;Paraná;8;1228066,7;40969,2;1;0,506171571;0;3;4115408;41;;;
Marquinho;Paraná;9;2346407,6;55006,2;2;0,048648124;0;3;4115457;41;;;
Marumbi;Paraná;44;3415929,4;127073,8;13;1,011724054;0;3;4115507;41;;;
Massaranduba;Santa Catarina;1;100000;1102,5;0;0;0;3;4210605;42;;;
Matelândia;Paraná;70;9709665,1;320669,3;30;1,447774296;3;1;4115606;41;;;
Mato Castelhano;Rio Grande do Sul;22;3155716;89152,2;1;0,083970864;0;3;4312138;43;;;
Mato Queimado;Rio Grande do Sul;2;92727,5;5512,9;0;0;0;3;4312179;43;;;
Mato Rico;Paraná;31;2605121,5;79558,7;12;0,513612659;0;3;4115739;41;;;
Mauá da Serra;Paraná;11;1313052,3;65902,5;2;0,524868231;0;3;4115754;41;;;
Maximiliano de Almeida;Rio Grande do Sul;4;275250;9802,3;0;0;0;3;4312203;43;;;
Maçambará;Rio Grande do Sul;59;38768886,6;1334013,7;27;0,912816789;1;0;4311718;43;;;
Medianeira;Paraná;83;7116775,1;250045,4;35;1,738230665;0;1;4115804;41;;;
Meleiro;Santa Catarina;118;17397535,8;195566,3;10;0,272277183;3;4;4210803;42;;;
Mercedes;Paraná;63;5356032,7;209232,4;25;1,545527536;0;3;4115853;41;;;
Minas do Leão;Rio Grande do Sul;17;8629850,7;268843,9;2;0,34204454;0;1;4312252;43;;;
Mirador;Paraná;9;501770,4;24765,1;7;2,589460219;0;3;4115903;41;;;
Miraguaí;Rio Grande do Sul;2;85494,3;3393,9;1;0,414587256;0;3;4312302;43;;;
Miraselva;Paraná;7;609319,3;19238,2;2;1,512718445;0;3;4116000;41;;;
Mirim Doce;Santa Catarina;4;95000;1469,6;1;0,482292138;0;3;4210852;42;;;
Missal;Paraná;76;7034776,5;316772,7;28;1,141811517;0;1;4116059;41;;;
Modelo;Santa Catarina;2;211559,7;7554,1;0;0;0;3;4210902;42;;;
Monte Alegre dos Campos;Rio Grande do Sul;328;28377515,7;1210302,1;233;2,881349885;3;4;4312377;43;;;
Monte Alverne;-;1;120500;1286,3;0;0;0;3;0;-;;;
Monte Belo do Sul;Rio Grande do Sul;447;43353489,5;1085690,3;188;1,646232465;1;0;4312385;43;;;
Monte Carlo;Santa Catarina;1;78000;1214,9;0;0;0;3;4211058;42;;;
Monte Castelo;Santa Catarina;5;275900;18458,3;0;0;0;3;4211108;42;;;
Montenegro;Rio Grande do Sul;1;206350;6035,7;0;0;0;3;4312401;43;;;
Moreira Sales;Paraná;36;7470625,8;251626,2;17;1,820115498;0;1;4116109;41;;;
Mormaço;Rio Grande do Sul;6;904284,7;23100;2;0,590483897;0;3;4312427;43;;;
Morrinhos do Sul;Rio Grande do Sul;2;974350;10401,2;1;2,863038314;0;3;4312443;43;;;
Morro Grande;Santa Catarina;80;5866772,8;64272,8;4;0,071726894;0;1;4211256;42;;;
Morro Redondo;Rio Grande do Sul;1;21120;563,6;0;0;0;3;4312450;43;;;
Morro da Fumaça;Santa Catarina;3;356900;6702,3;1;1,721229258;0;3;4211207;42;;;
Mostardas;Rio Grande do Sul;20;11518700,9;147522;0;0;3;1;4312500;43;;;
Muitos Capões;Rio Grande do Sul;85;42301655,8;1707813,5;13;0,09438136;1;0;4312617;43;;;
Muliterno;Rio Grande do Sul;8;1310593,5;54993,8;0;0;0;3;4312625;43;;;
Munhoz de Melo;Paraná;71;7347363,6;250082,9;32;1,550586943;0;1;4116307;41;;;
Muçum;Rio Grande do Sul;6;263053,6;6055,3;0;0;0;3;4312609;43;;;
Nicolau Vergueiro;Rio Grande do Sul;41;5455923,3;186551,1;8;0,122683284;0;3;4312674;43;;;
Nonoai;Rio Grande do Sul;6;242699,1;12500,3;0;0;0;3;4312708;43;;;
Nossa Senhora das Graças;Paraná;25;3533332,7;130468,3;12;2,830346152;0;3;4116406;41;;;
Nova Alvorada;Rio Grande do Sul;1;53004;1288;1;3,504681713;0;3;4312757;43;;;
Nova América da Colina;Paraná;49;4325328,6;214418,8;33;1,665724107;0;3;4116604;41;;;
Nova Araçá;Rio Grande do Sul;2;66830,5;1960,4;0;0;0;3;4312807;43;;;
Nova Aurora;Paraná;304;24858560,4;945697,3;123;1,123587323;3;4;4116703;41;;;
Nova Bassano;Rio Grande do Sul;11;457953,1;13687,4;0;0;0;3;4312906;43;;;
Nova Boa Vista;Rio Grande do Sul;8;263332,3;13823,6;1;0,160080134;0;3;4312955;43;;;
Nova Candelária;Rio Grande do Sul;2;137466,8;5992,3;1;1,054538163;0;3;4313011;43;;;
Nova Cantu;Paraná;105;8617012,2;329161,3;14;0,586443457;0;1;4116802;41;;;
Nova Esperança;Paraná;52;5193733,5;181596,5;27;2,823856088;0;3;4116901;41;;;
Nova Esperança do Sudoeste;Paraná;1;34791,4;2383,5;0;0;0;3;4116950;41;;;
Nova Fátima;Paraná;77;9051100,7;352507,5;66;3,465560145;0;1;4117008;41;;;
Nova Laranjeiras;Paraná;10;1324490,7;31413,9;0;0;0;3;4117057;41;;;
Nova Milano;-;1;201160,3;4888,2;0;0;0;3;0;-;;;
Nova Olímpia;Paraná;3;280503,6;8914,1;0;0;0;3;4117206;41;;;
Nova Palma;Rio Grande do Sul;3;267573,3;10776,2;0;0;0;3;4313102;43;;;
Nova Petrópolis;Rio Grande do Sul;3;201000;4691,2;0;0;0;3;4313201;43;;;
Nova Prata;Rio Grande do Sul;15;1225425,1;44275;0;0;0;3;4313300;43;;;
Nova Prata do Iguaçu;Paraná;7;881151,6;24670;2;1,64707294;0;3;4117255;41;;;
Nova Pádua;Rio Grande do Sul;257;23627516,4;709442;250;11,51720791;3;4;4313086;43;;;
Nova Ramada;Rio Grande do Sul;20;3580514,3;129777,1;1;0,09822681;0;3;4313334;43;;;
Nova Roma do Sul;Rio Grande do Sul;197;14657592,2;434982,9;178;9,115138013;3;1;4313359;43;;;
Nova Santa Bárbara;Paraná;40;2835917,1;114260,1;9;1,333142165;0;3;4117214;41;;;
Nova Santa Rita;Rio Grande do Sul;18;5899944,1;60199,4;1;0,361070174;0;1;4313375;43;;;
Nova Santa Rosa;Paraná;129;10759588,8;346422,8;77;2,334471038;3;1;4117222;41;;;
Nova Sardenha;-;2;74507,7;3678,1;0;0;0;3;0;-;;;
Nova Tebas;Paraná;65;10562371;312011,9;21;1,451062982;3;1;4117271;41;;;
Nova Veneza;Santa Catarina;153;26086390,8;280129,8;5;0,038728963;3;4;4211603;42;;;
Novo Cabrais;Rio Grande do Sul;1;204408,7;7229,9;0;0;0;3;4313391;43;;;
Novo Horizonte;Santa Catarina;9;268262,6;9617;3;1,803273549;0;3;4211652;42;;;
Novo Itacolomi;Paraná;43;2189599;96385,2;14;1,333206084;0;3;4117297;41;;;
Novo Sarandi;-;4;201095,9;7221,2;2;3,035959106;0;3;0;-;;;
Novo Sobradinho;-;2;116235,6;6799,8;0;0;0;3;0;-;;;
Novo Tiradentes;Rio Grande do Sul;3;476325,6;28418,8;0;0;0;3;4313441;43;;;
Novo Xingu;Rio Grande do Sul;3;101813,2;4852,5;2;1,078755202;0;3;4313466;43;;;
Não-Me-Toque;Rio Grande do Sul;105;13548822,5;469455,9;32;0,399689858;3;1;4312658;43;;;
Ortigueira;Paraná;85;15804688,6;464077,9;13;0,396156002;3;1;4117305;41;;;
Osório;Rio Grande do Sul;6;2412850;25581,1;0;0;0;3;4313508;43;;;
Otacílio Costa;Santa Catarina;3;809225,3;11116,1;0;0;0;3;4211751;42;;;
Otávio Rocha;-;8;420911,6;13488;6;6,620398018;0;3;0;-;;;
Ourizona;Paraná;76;9598112,9;360665,3;27;1,79794501;3;1;4117404;41;;;
Ouro;Santa Catarina;2;36000;2205,6;0;0;0;3;4211801;42;;;
Ouro Verde;Santa Catarina;5;828679,1;23139,3;0;0;0;3;4211850;42;;;
Ouro Verde do Oeste;Paraná;139;11524704,6;444061,9;43;1,168233806;3;1;4117453;41;;;
Paim Filho;Rio Grande do Sul;7;260200;14418;0;0;0;3;4313607;43;;;
Painel;Santa Catarina;14;3076585;182026,9;1;0,017793392;0;3;4211892;42;;;
Paiçandu;Paraná;119;10508582;416781,2;51;1,610933497;3;1;4117503;41;;;
Palhoça;Santa Catarina;1;197007,3;2860,9;0;0;0;3;4211900;42;;;
Palma Sola;Santa Catarina;2;288440,3;16354,6;2;4,063527178;0;3;4212007;42;;;
Palmares do Sul;Rio Grande do Sul;6;2967851;51707,1;0;0;0;3;4313656;43;;;
Palmas;Paraná;45;20937288,6;740609,2;7;0,141090629;3;4;4117602;41;;;
Palmeira;Paraná;127;16705232,5;428801,7;4;0,055092628;3;4;4117701;41;;;
