Município;Estado;Apólices contratadas;Total de Importância segurada (R$ mil);Total de Subvenção (R$ mil);Apólices indenizadas;índice de sinistralidade;grupo;grupo5;mun;uf;;;
Barra do Ribeiro;Rio Grande do Sul;4;2422722,1;24093,6;1;0,65455528;0;3;4301909;43;;;
Barracão;Paraná;41;3048958,3;75925,6;0;0;0;3;4102604;41;;;
Barro Preto;-;1;603354,2;15372,4;0;0;0;3;0;-;;;
Barro Vermelho;-;1;1603875;19928,2;0;0;0;3;0;-;;;
Barros Cassal;Rio Grande do Sul;6;809690,5;27290,8;0;0;0;3;4302006;43;;;
Barão de Cotegipe;Rio Grande do Sul;3;94425,8;3144,4;0;0;0;3;4301701;43;;;
Bela Vista da Caroba;Paraná;1;33542,6;1197,7;0;0;0;3;4102752;41;;;
Bela Vista do Paraíso;Paraná;125;16921948,6;650557;61;2,051512366;3;4;4102802;41;;;
Bela Vista do Toldo;Santa Catarina;41;2595810,5;63526,2;1;0,053087974;0;3;4202131;42;;;
Benjamin Constant do Sul;Rio Grande do Sul;1;3310072,4;14118,2;0;0;0;3;4302055;43;;;
Bento Gonçalves;Rio Grande do Sul;655;63579361,6;1639800,4;250;2,229533603;1;0;4302105;43;;;
Bituruna;Paraná;18;1118460,6;61114,4;2;0,219165817;0;3;4102901;41;;;
Boa Esperança;Paraná;131;20300365,5;560550,9;22;0,636228173;3;4;4103008;41;;;
Boa Esperança do Iguaçu;Paraná;6;193305,7;7819,9;0;0;0;3;4103024;41;;;
Boa Ventura de São Roque;Paraná;60;9670956,6;222687;1;0,308390115;3;1;4103040;41;;;
Boa Vista;-;4;242168,3;23531,9;0;0;0;3;0;-;;;
Boa Vista da Aparecida;Paraná;8;543159,7;16631,4;1;0,058186413;0;3;4103057;41;;;
Boa Vista das Missões;Rio Grande do Sul;8;1364641,2;68237,5;3;0,675127963;0;3;4302154;43;;;
Boa Vista do Cadeado;Rio Grande do Sul;92;21131094,3;732860,4;11;0,103356058;3;4;4302220;43;;;
Boa Vista do Incra;Rio Grande do Sul;57;16977734,1;505175,6;5;0,05596647;3;4;4302238;43;;;
Boa Vista do Sul;Rio Grande do Sul;7;313207,6;8858,1;0;0;0;3;4302253;43;;;
Bom Jardim da Serra;Santa Catarina;172;27109641,6;2184828,2;21;0,098199827;3;4;4202503;42;;;
Bom Jesus;Santa Catarina;75;52250813,3;2253865;24;0,620254888;1;0;4202537;42;;;
Bom Progresso;Rio Grande do Sul;4;138397,5;5886,7;1;1,534255793;0;3;4302378;43;;;
Bom Retiro;Santa Catarina;46;9320374,7;409688,4;9;1,22425419;3;1;4202602;42;;;
Bom Sucesso;Paraná;48;6512472,8;244495,4;17;1,572594017;0;1;4103206;41;;;
Bom Sucesso do Sul;Paraná;13;1674288,5;42133,5;2;0,797730194;0;3;4103222;41;;;
Borrazópolis;Paraná;112;8952685,1;361892,5;25;0,858308995;0;1;4103305;41;;;
