ano;especie;mun;n_macho_bov;n_macho_bub;n_fem_bov;n_fem_bub;doenca;teste;BRU Nº REAGENTES;BRU Nº POS´S
2015;BOV;Unaí;89;NA;189;NA;BRU e TUB;AAT, 2ME e TCC;NA;NA
2015;BOV;Brasilândia de Minas;82;NA;109;NA;BRU;AAT;13;NA
2015;BOV;Unaí;4;NA;262;NA;TUB;TCC;NA;NA
2015;BOV;Buritis;1;NA;147;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;123;NA;322;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;84;NA;185;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;23;NA;3;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;5;NA;105;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;24;NA;158;NA;TUB;TCC;NA;NA
2015;BOV;Buritis;14;NA;38;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;12;NA;116;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;50;NA;302;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;86;NA;292;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;13;NA;111;NA;TUB;TCC;NA;NA
2015;BOV;Buritis;NA;NA;NA;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;95;NA;149;NA;BRU;AAT e 2ME;1;NA
2015;BOV;Buritis;11;NA;196;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;0;NA;1;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;24;NA;109;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;15;NA;121;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;7;NA;244;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;2;NA;139;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;1;NA;225;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;2;NA;69;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;0;NA;257;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;2;NA;101;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;13;NA;245;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;333;NA;708;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;11;NA;289;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;15;NA;92;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;0;NA;77;NA;BRU;AAT;1;NA
2015;BOV;Dom Bosco;NA;NA;NA;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;30;NA;148;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;27;NA;66;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;2;NA;36;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;71;NA;15;NA;TUB;TCC;NA;NA
2015;BOV;Buritis;22;NA;574;NA;BRU e TUB;"AAT e 2ME; TCC";1;NA
2015;BOV;Unaí;40;NA;393;NA;TUB;TCC;NA;NA
2015;BOV;Dom Bosco;NA;NA;NA;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;27;NA;150;NA;TUB;TCC;NA;NA
2014;BOV;Unaí;5;NA;161;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;NA;NA;NA;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;506;NA;882;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;19;NA;184;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;2;NA;134;NA;BRU e TUB;AAT e TCC;1;NA
2015;BOV;Unaí;1;NA;78;NA;TUB;TCC;NA;NA
2015;BOV;Buritis;1;NA;75;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;5;NA;39;NA;TUB;TCC;NA;NA
2015;BOV;Unaí;36;NA;51;NA;TUB;TCC;NA;NA
2016;BOV;Patos de Minas;28;NA;87;NA;TUB;TCC;NA;NA
2016;BOV;Uberlândia;6;NA;79;NA;BRU;AAT e 2ME;1;NA
2016;BOV;Uberaba;20;NA;136;NA;BRU;AAT;3;NA
2016;BOV;Bom Despacho;16;NA;379;NA;TUB;TCC;NA;NA
2016;BOV;Volta Grande;4;NA;104;NA;TUB;TCC;NA;NA
2016;BOV;Argirita;17;NA;71;NA;TUB;TCC;NA;NA
2016;BOV;Serranos;10;NA;230;NA;TUB;TCC;NA;NA
2016;BOV;Argirita;20;NA;6;NA;TUB;TCC ;NA;NA
2016;BOV;Taparuba;0;NA;77;NA;TUB;TCS;NA;NA
2016;BOV;Pocrane;25;NA;183;NA;BRU E TUB;AAT E TCS;1;NA
2016;BOV;Ituiutaba;0;NA;22;NA;BRU E TUB;AAT e TCS;1;NA
2016;BOV;Coromandel;64;NA;504;NA;BRU E TUB;AAT e TCC;5;NA
2016;BOV;Patrocínio;0;NA;153;NA;TUB;TCC;NA;NA
2016;BOV;Patos de Minas;320;NA;136;NA;BRU;AAT;2;NA
2016;BOV;Cordisburgo;16;NA;206;NA;BRU;AAT e 2ME;NA;1
2016;BOV;Leopoldina;8;NA;82;NA;BRU;AAT;4;NA
2016;BOV;Leopoldina;23;NA;57;NA;TUB;TCC;NA;NA
2016;BOV;Esmeraldas;0;NA;293;NA;TUB;TCC;NA;NA
2016;BOV;Juiz de Fora;8;NA;24;NA;TUB;TCS;NA;NA
2016;BOV;Tocantins;0;NA;7;NA;BRU;AAT ;1;NA
2016;BOV;Patrocínio;6;NA;38;NA;BRU E TUB;AAT e TCC;1;NA
2016;BOV;Araçuaí;57;NA;209;NA;TUB;TCS;NA;NA
2016;BOV;Araxá;4;NA;74;NA;TUB;TCC;NA;NA
2016;BOV;Rochedo de Minas;20;NA;77;NA;TUB;TCC;NA;NA
2016;BOV;Campo Florido;523;NA;297;NA;BRU E TUB;AAT e TPC;18;NA
2016;BOV;Arcos;1;NA;116;NA;TUB;TCC;NA;NA
2016;BOV;Araújos;12;NA;194;NA;TUB;TCC;NA;NA
2016;BOV;Uberaba;148;NA;52;NA;BRU;AAT;1;NA
2016;BOV;Jaboticatubas;0;NA;3;NA;TUB;TCC;NA;NA
2016;BOV;Santa Bárbara do Monte Verde;11;NA;53;NA;BRU;AAT;1;NA
2016;BOV;Juiz de Fora;53;NA;264;NA;TUB;TCS;NA;NA
2016;BOV;Patrocínio;0;NA;21;NA;TUB;TCC;NA;NA
2016;BOV;Uberaba;5190;NA;7;NA;TUB;TPC;NA;NA
2016;BOV;Vazante;27;NA;33;NA;TUB;TCS;NA;NA
2016;BOV;Ferros;328;NA;117;NA;TUB;TCS;NA;NA
2016;BOV;Guanhães;18;NA;126;NA;TUB;TCS;NA;NA
2016;BOV;Materlândia;3;NA;200;NA;TUB;TCS;NA;NA
2016;BOV;Paulistas;101;NA;197;NA;TUB;TCS;NA;NA
2016;BOV;Argirita;107;NA;55;NA;TUB;TCC;NA;NA
2016;BOV;Leopoldina;3;NA;29;NA;TUB;TCS;NA;NA
2016;BOV;Santa Bárbara do Monte Verde;14;NA;94;NA;BRU;AAT ;NA;4
2016;BOV;Rio Vermelho;11;NA;54;NA;TUB;TCS;NA;NA
2016;BOV;Delta;100;NA;26;NA;BRU;AAT ;1;NA
2016;BOV;Itabirito;19;NA;120;NA;TUB;TCS;NA;NA
2016;BOV;Carlos Chagas;778;NA;4233;NA;BRU E TUB;AAT e  TCS;1;NA
2016;BOV;Patos de Minas;49;NA;103;NA;TUB;TCS;NA;NA
2016;BOV;Patos de Minas;22;NA;433;NA;TUB;TCC;NA;NA
2016;BOV;Leopoldina;3;NA;29;NA;TUB;TCC;NA;NA
2016;BOV;Lagoa Formosa;3;NA;169;NA;TUB;TCC;NA;NA
2016;BOV;Casa Grande;0;NA;94;NA;TUB;TCC;NA;NA
2016;BOV;Carlos Chagas;2;NA;21;NA;TUB;TCS;NA;NA
2016;BOV;Recreio;28;NA;124;NA;TUB;TCC;NA;NA
2016;BOV;Sacramento;13;NA;42;NA;BRU;AAT;3;NA
2016;BOV;Santa Maria de Itabira;80;NA;137;NA;TUB;TCC;NA;NA
2016;BOV;Lagoa Dourada;24;NA;181;NA;TUB;TCC;NA;NA
2016;BOV;Monte Santo de Minas;279;NA;563;NA;TUB;TCC;NA;NA
2016;BOV;Monte Santo de Minas;279;NA;560;NA;TUB;TCC;NA;NA
2016;BOV;São João Batista do Glória;0;NA;215;NA;TUB;TCC;NA;NA
2016;BOV;Machado;NA;NA;19;NA;TUB;TCC;NA;NA
2016;BOV;Caldas;11;NA;59;NA;TUB;TCC;NA;NA
2016;BOV;Silvianópolis;2;NA;13;NA;TUB;TCC;NA;NA
2016;BOV;Caldas;3;NA;14;NA;TUB;TCC;NA;NA
2016;BOV;Caldas;3;NA;12;NA;TUB;TCC;NA;NA
2016;BOV;Gonçalves;71;NA;155;NA;TUB;TCC;NA;NA
2016;BOV;Machado;12;NA;64;NA;BRU;AAT;1;NA
2016;BOV;Caldas;19;NA;46;NA;TUB;TCC;NA;NA
2016;BOV;Caldas;2;NA;68;NA;TUB;TCC;NA;NA
2016;BOV;Caldas;6;NA;16;NA;BRU;AAT;2;NA
2016;BOV;Caldas;51;NA;106;NA;BRU;AAT;1;NA
2016;BOV;Poço Fundo;6;NA;13;NA;TUB;TCC ;NA;NA
2016;BOV;Unaí;16;NA;116;NA;TUB;TCC;NA;NA
2016;BOV;Paracatu;89;NA;189;NA;TUB;TCC;NA;NA
2016;BOV;Unaí;67;NA;253;NA;BRU e TUB;AAT e TCC;1;NA
2016;BOV;Unaí;1710;NA;200;NA;TUB;TCC;NA;NA
2016;BOV;Unaí;82;NA;402;NA;TUB;TCC;NA;NA
2016;BOV;Unaí;4;NA;164;NA;TUB;TCC;NA;NA
2016;BOV;Cabeceira Grande;132;NA;304;NA;BRU;AAT  ;2;NA
2016;BOV;Unaí;3;NA;164;NA;TUB;TCC;NA;NA
2016;BOV;Unaí;14;NA;366;NA;TUB;TCC;NA;NA
2016;BOV;Unaí;2;NA;21;NA;TUB;TCC;NA;NA
2016;BOV;Unaí;57;NA;303;NA;TUB;TCC;NA;NA
2016;BOV;Unaí;2;NA;99;NA;TUB;TCC;NA;NA
2016;BOV;João Pinheiro;177;NA;425;NA;BRU;AAT;2;NA
2016;BOV;Cabeceira Grande;132;NA;304;NA;BRU;AAT;2;NA
2016;BOV;Unaí;23;NA;170;NA;TUB;TCC;NA;NA
2016;BOV;Cabeceira Grande;25;NA;88;NA;TUB;TCC;NA;NA
2016;BOV;Cabeceira Grande;17;NA;42;NA;TUB;TCC;NA;NA
2016;BOV;Unaí;27;NA;306;NA;TUB;TCC;NA;NA
2016;BOV;Unaí;6;NA;190;NA;TUB;TCC;NA;NA
2016;BOV;Cabeceira Grande;112;NA;268;NA;BRU;AAT;1;NA
2016;BOV;Unaí;7;NA;17;NA;TUB;TCS;NA;NA
2016;BOV;Unaí;2195;NA;24;NA;TUB;TCC;NA;NA
2016;BOV;Unaí;10;NA;57;NA;TUB;TCS;NA;NA
2016;BOV;Unaí;11;NA;69;NA;TUB;TCS;NA;NA
2016;BOV;Uruana de Minas;56;NA;451;NA;BRU;AAT;1;NA
2016;BOV;Unaí;10;NA;63;NA;BRU;AAT;2;NA
2016;BOV;Unaí;0;NA;36;NA;TUB;TCS;NA;NA
2016;BOV;Unaí;9;NA;46;NA;TUB;TCS;NA;NA
2016;BOV;Unaí;29;NA;58;NA;TUB;TCC;NA;NA
2016;BOV;Unaí;3;NA;108;NA;TUB;TCC;NA;NA
2016;BOV;Unaí;134;NA;503;NA;TUB;TCC;NA;NA
2016;BOV;Unaí;84;NA;72;NA;TUB;TCC;NA;NA
2016;BOV;Unaí;30;NA;235;NA;BRU;AAT;1;NA
2016;BOV;Unaí;5;NA;134;NA;BRU;AAT;1;NA
2016;BOV;Buritis;1;NA;215;NA;TUB;TCC;NA;NA
2016;BOV;Itamonte;7;NA;11;NA;TUB;TCC;NA;NA
2016;BOV;Itamonte;1;NA;91;NA;BRU e TUB;TCC/AAT;4;NA
2016;BOV;Natércia;9;NA;274;NA;BRU;AAT;3;NA
2016;BOV;Jesuânia;1;NA;730;NA;TUB;TCC;NA;NA
2017;BOV;Serra do Salitre;2;NA;80;NA;BRU e TUB;AAT e TCC;1;NA
2017;BOV;Iguatama;0;NA;2;NA;BRU;2ME;NA;2
2017;BOV;Argirita;1;NA;37;NA;TUB;TCC;NA;NA
2017;BOV;Argirita;1;NA;26;NA;TUB;TCC;NA;NA
2017;BOV;Volta Grande;27;NA;133;NA;TUB;TCC;NA;NA
2017;BOV;Uberlândia;41;NA;188;NA;BRU;AAT;1;NA
2017;BOV;Lagoa Formosa;23;NA;201;NA;TUB;TCC;NA;NA
2017;BOV;Unaí;1;NA;37;NA;BRU;AAT;1;NA
2017;BOV;Unaí;5;NA;70;NA;TUB;TCC;NA;NA
2017;BOV;Unaí;17;NA;52;NA;TUB;TCC;NA;NA
2017;BOV;Unaí;16;NA;35;NA;TUB;TCC;NA;NA
2017;BOV;Unaí;205;NA;391;NA;BRU;AAT;1;NA
2017;BOV;Urucuia;7;NA;122;NA;BRU;AAT;1;NA
2017;BOV;Arinos;NA;NA;NA;NA;BRU;AAT;1;NA
2017;BOV;Unaí;2443;NA;188;NA;TUB;TCC;NA;NA
2017;BOV;Unaí;11;NA;112;NA;TUB;TCC;NA;NA
2017;BOV;Unaí;26;NA;83;NA;TUB;TCC;NA;NA
2017;BOV;Unaí;4;NA;14;NA;BRU;AAT;1;NA
2017;BOV;Unaí;7;NA;182;NA;TUB;TCC;NA;NA
2017;BOV;Caldas;10;NA;71;NA;TUB;TCC;NA;NA
2017;BOV;Caldas;19;NA;22;NA;TUB;TCC;NA;NA
2017;BOV;Brasilândia de Minas;2;NA;55;NA;BRU;AAT;1;NA
2017;BOV;Lagoa Formosa;39;NA;91;NA;TUB;TCC;NA;NA
2017;BOV;Uberaba;5655;NA;6;NA;TUB;TPC;NA;NA
2017;BOV;Unaí;18;NA;62;NA;TUB;TCC;NA;NA
2017;BOV;Unaí;3;NA;224;NA;TUB;TCC;NA;NA
2017;BOV;Unaí;145;NA;450;NA;BRU;AAT;1;NA
2017;BOV;Unaí;10;NA;71;NA;TUB;TCC;NA;NA
2017;BOV;Unaí;2;NA;47;NA;TUB;TCC;NA;NA
2017;BOV;Arapuá;22;NA;419;NA;TUB;TCS;NA;NA
2017;BOV;Uberaba;6843;NA;7;NA;TUB;TPC;NA;NA
2017;BOV;Argirita;1;NA;26;NA;TUB;TCC;NA;NA
2017;BOV;Juiz de Fora;7;NA;12;NA;TUB;TCS;NA;NA
2017;BOV;Unaí;325;NA;341;NA;BRU e TUB;AAT E TCC;1;NA
2017;BOV;Unaí;12;NA;210;NA;TUB;TCC;NA;NA
2017;BOV;Caldas;19;NA;74;NA;TUB;TCC;NA;NA
2017;BOV;Baependi;NA;NA;NA;NA;TUB;TCC;NA;NA
2017;BOV;Lagoa da Prata;3;NA;221;NA;TUB;TCC;NA;NA
2017;BOV;Serra do Salitre;2;NA;57;NA;BRU e TUB;AAT e TCC;1;NA
2017;BOV;Silvianópolis;10;NA;54;NA;TUB;TCS;NA;NA
